Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
272;Muzeum Ziemi Kociewskiej w Starogardzie GdaÒskim;83-200;Starogard GdaÒski;Starogard GdaÒski;starogardzki;POMORSKIE;ul.;Rynek;1;;;;;;;;Gmina Miejska Starogard GdaÒski;;;;;Samorzπdowe;;
273;Muzeum Ziemi Sochaczewskiej w Pola Bitwy nad Bzurπ w Sochaczewie;96-500;Sochaczew;Sochaczew;sochaczewski;MAZOWIECKIE;Plac;Tadeusza Koúciuszki ;12;;;;;;;;Gmina Sochaczew;;;;;Samorzπdowe;;
274;Zamek Ksiπøπt Pomorskich - Muzeum w†Dar≥owie;76-150;Dar≥owo;Dar≥owo;s≥awieÒski;ZACHODNIOPOMORSKIE;Plac;Zamkowy;4;;;;;;;;Powiat S≥awieÒski;;;;;Samorzπdowe;;
275;Muzeum Zamek OpaliÒskich w†Sierakowie;64-410;SierakÛw;Chrzypsko Wielkie;miÍdzychodzki;WIELKOPOLSKIE;ul.;Stadnina;3a;;;;;;;;Powiat MiÍdzychodzki;;;;;Samorzπdowe;;
276;Muzeum - Zamek w Oporowie;99-322;OporÛw;OporÛw;kutnowski;£”DZKIE;;OporÛw;34;;;;;;;;Powiat Kutnowski;;;;2007-02-22;Samorzπdowe;;
277;Muzeum Zamek w OúwiÍcimiu ;32-600;OúwiÍcim;OúwiÍcim;oúwiÍcimski;MA£OPOLSKIE;ul.;Zamkowa;1;;;;;;;;Gmina Miasto OúwiÍcim;;;;;Samorzπdowe;;
278;Muzeum Zamkowe w Pszczynie;43-200;Pszczyna;GÛra;pszczyÒski;åL•SKIE;ul.;Brama WybraÒcÛw;1;;;;;;;;WojewÛdztwo ålπskie;;;;1998-07-06;Samorzπdowe;;
279;Muzeum Zamek Szymbark w Warszawie (w organizacji);14-200;Szymbark;I≥awa;i≥awski;WARMI—SKO-MAZURSKIE;;Szymbark;10A;;;;;;;;Fundacja Zamek Szymbark;;;;;;;
280;Muzeum Zamojskie w Zamoúciu;22-400;ZamoúÊ;ZamoúÊ;m. ZamoúÊ;LUBELSKIE;ul.;OrmiaÒska;30;;;;;;;;Miasto ZamoúÊ;;;;2012-06-26;Samorzπdowe;;
281;Muzeum Zamoyskich w Koz≥Ûwce;21-132;Kamionka;Kamionka;lubartowski;LUBELSKIE;ul.;Koz≥Ûwka;3;;;;;;;;WojewÛdztwo Lubelskie;;;;1998-05-18;Samorzπdowe;;
282;Muzeum Zbrojownia na Zamku w Liwie;07-100;Liw (poczta WÍgrÛw);Starawieú;wÍgrowski;MAZOWIECKIE;ul.;Stefana Batorego;2;;;;;;;;Samorzπd WojewÛdztwa Mazowieckiego;;;;;Samorzπdowe;;
283;Muzeum Ziemi Bieckiej;38-340;Biecz;Biecz;gorlicki;MA£OPOLSKIE;ul.;WÍgierska;1;;;;;;;;Gmina Biecz;;;;;Samorzπdowe;;
284;Muzeum Ziemi Bi≥gorajskiej w†Bi≥goraju;23-400;Bi≥goraj;Bi≥goraj;bi≥gorajski;LUBELSKIE;ul.;Koúciuszki;87;;;;;;;;Powiat Bi≥gorajski;;;;;Samorzπdowe;;
285;Muzeum Ziemi B≥oÒskiej (w organizacji);05-870;Blonie;B≥onie;warszawski zachodni;MAZOWIECKIE;ul.;Norwida;1;;;;;;;;Gmina B≥onie;;;;;Samorzπdowe;;
286;Muzeum Ziemi Che≥mskiej im. Wiktora Ambroziewicza w Che≥mie;22-100;Che≥m;Che≥m;m. Che≥m;LUBELSKIE;ul.;Lubelska;55;;;;;;;;Miasto Che≥m;;;;1998-12-28;Samorzπdowe;;
287;Muzeum Ziemi DobrzyÒskiej w Rypinie ;87-500;Rypin;Brzuze;rypiÒski;KUJAWSKO-POMORSKIE;ul.;Wroc≥awska;20;;;;;;;;Miasto Rypin ;;;;;Samorzπdowe;;
288;Muzeum Ziemi KÍpiÒskiej im. Tadeusza Piotra Potworowskiego w KÍpnie ;63-600;KÍpno;KÍpno;kÍpiÒski;WIELKOPOLSKIE;ul.;Kwiatowa;13;;;;;;;;Gmina KÍpno;;;;;Samorzπdowe;;
289;Muzeum Ziemi K≥odzkiej w K≥odzku;57-300;K≥odzko;K≥odzko;k≥odzki;DOLNOåL•SKIE;ul.;£ukasiewicza;4;;;;;;;;Gmina Miasto K≥odzko;;;;2001-12-14;Samorzπdowe;;
290;Muzeum Ziemi Koszyckiej im. Stanis≥awa Boducha w Koszycach;32 -130;Koszyce;Koszyce;proszowicki;MA£OPOLSKIE;ul.;WspÛlna;11;;;;;;;;Gmina Koszyce;;;;;Samorzπdowe;;
291;Muzeum Ziemi Koúcierskiej im. dra Jerzego Knyby w Koúcierzynie;83-400;Koúcierzyna;Koúcierzyna;koúcierski;POMORSKIE;ul.;Rynek;9;;;;;;;;Gmina Miejska Koúcierzyna;;;;;Samorzπdowe;;
292;Muzeum Ziemi Kozielskiej w†KÍdzierzynie Koülu (w organizacji);47-200;KÍdzierzyn-Koüle;KÍdzierzyn-Koüle (K≥odnica);kÍdzierzyÒsko-kozielski;OPOLSKIE;ul.;JÛzefa Ignacego Kraszewskiego;5b;;;;;;;;Gmina KÍdzierzyn-Koüle;;;;;Samorzπdowe;;
293;Muzeum Ziemi KrajeÒskiej w Nakle nad Noteciπ;89-100;Nak≥o nad Noteciπ;Paterek;nakielski;KUJAWSKO-POMORSKIE;ul.;Pocztowa;14;;;;;;;;Gmina Nak≥o nad Noteciπ;;;;;Samorzπdowe;;
294;Muzeum Ziemi Kujawskiej i†DobrzyÒskiej we W≥oc≥awku;87-800;W≥oc≥awek;W≥oc≥awek;m. W≥oc≥awek;KUJAWSKO-POMORSKIE;ul.;S≥owackiego;1a;;;;;;;;WojewÛdztwo Kujawsko-Pomorskie;;;;1998-07-06;Samorzπdowe;;
295;Muzeum Ziemi Leøajskiej;37-300;Leøajsk;Leøajsk;leøajski;PODKARPACKIE;ul.;Mickiewicza;20A;;;;;;;;Powiat Leøajski;;;;;Samorzπdowe;;
296;Muzeum Ziemi Lubartowskiej w†Lubartowie (w organizacji);21-100;LubartÛw;LubartÛw;lubartowski;LUBELSKIE;ul.;Koúciuszki;28;;;;;;;;Miasto LubartÛw ;;;;;Samorzπdowe;;
297;Muzeum Ziemi Lubuskiej w Zielonej GÛrze;65-048;Zielona GÛra;Zielona GÛra;m. Zielona GÛra;LUBUSKIE;al.;Niepodleg≥oúci;15;;;;;;;;WojewÛdztwo Lubuskie;;;;1998-05-18;Samorzπdowe;;
298;Muzeum Ziemi Miechowskiej w†Miechowie (w†organizacji) ;32-200;MiechÛw;Wysocice;miechowski;MA£OPOLSKIE;ul.;Warszawska;1;;;;;;;;Gmina MiechÛw; Powiat Miechowski; parafia Rzymsko-Katolicka przy Bazylice Grobu Boøego w Miechowie ;;;Samorzπdowe;;
299;Muzeum Ziemi MiÒskiej w MiÒsku Mazowieckim ;05-300;MiÒsk Mazowiecki;MiÒsk Mazowiecki;miÒski;MAZOWIECKIE;ul.;S. Okrzei;16;;;;;;;;Miasto MiÒsk Mazowiecki;;;;;Samorzπdowe;;
300;Muzeum Ziemi MogileÒskiej w†Mogilnie z siedzibπ w Chabsku;88-342;Chabsko (poczta Wylatowo);£osoúniki;mogileÒski;KUJAWSKO-POMORSKIE;ul.;Chabsko;20;;;;;;;;Gmina Mogilno;;;;;Samorzπdowe;;
301;Muzeum Ziemi Nadnoteckiej im. Wiktora Stachowiaka w Trzciance;64-980;Trzcianka;Trzcianka;czarnkowsko-trzcianecki;WIELKOPOLSKIE;ul.;Øeromskiego;36a;;;;;;;;Gmina Trzcianka;;;;;Samorzπdowe;;
302;Muzeum Ziemi Pa≥uckiej w Øninie;88-400;Ønin;Biskupin;øniÒski;KUJAWSKO-POMORSKIE;Plac;Plac Wolnoúci;1;;;;;;;;Gmina Ønin;;;;;Samorzπdowe;;
303;Muzeum Ziemi Piskiej w Piszu;12-200;Pisz;Pisz;piski;WARMI—SKO-MAZURSKIE;Plac;Ignacego DaszyÒskiego;7;;;;;;;;Gmina Pisz;;;;;Samorzπdowe;;
304;Muzeum Ziemi Prudnickiej w Prudniku;48-200;Prudnik;£πcznik;prudnicki;OPOLSKIE;ul.;Chrobrego;5†;;;;;;;;Gmina Prudnik;;;;;Samorzπdowe;;
305;Muzeum Ziemi Puckiej im. Floriana Ceynowy w Pucku;84-100;Puck;Swarzewo;pucki;POMORSKIE;ul.;Wolnoúci;28;;;;;;;;Powiat Pucki;;;;2006-07-07;Samorzπdowe;;
306;Muzeum Ziemi Rawickiej w Rawiczu;63 -900;Rawicz;Rawicz;rawicki;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Rawicz;;;;;Samorzπdowe;;
307;Muzeum Ziemi Rawskiej w Rawie Mazowieckiej;96-200;Rawa Mazowiecka;Rawa Mazowiecka;rawski;£”DZKIE;ul.;£owicka;26;;;;;;;;Miasto Rawa Mazowiecka;;;;;Samorzπdowe;;
308;Muzeum Ziemi SadowieÒskiej w Sadownem;07-140;Sadowne;Sadowne;wÍgrowski;MAZOWIECKIE;ul.;Koúciuszki;74;;;;;;;;Gmina Sadowne ;;;;;Samorzπdowe;;
309;Muzeum Ziemi SzubiÒskiej im. Zenona Erdmanna w Szubinie;89-200;Szubin;Szubin;nakielski;KUJAWSKO-POMORSKIE;ul.;Szkolna;2;;;;;;;;Gmina Szubin;;;;;Samorzπdowe;;
310;Muzeum Ziemi åredzkiej - ÑDwÛr w†Koszutachî;63-000;åroda Wielkopolska;Dominowo;úredzki;WIELKOPOLSKIE;ul.;Koszuty;27;;;;;;;;Gmina åroda Wielkopolska;;;;;Samorzπdowe;;
311;Muzeum Ziemi Wa≥eckiej w Wa≥czu;78-600;Wa≥cz;Miros≥awiec;wa≥ecki;ZACHODNIOPOMORSKIE;ul.;Pocztowa;14;;;;;;;;Gmina Miejska Wa≥cz;;;;;Samorzπdowe;;
312;Muzeum Ziemi WieluÒskiej w Wieluniu;98-300;WieluÒ;WieluÒ;wieluÒski;£”DZKIE;ul.;Narutowicza;13;;;;;;;;Gmina WieluÒ;;;;2003-12-18;Samorzπdowe;;
313;Muzeum Ziemi Wiúnickiej w Nowym Wiúniczu;32-720;Nowy Wiúnicz;Nowy Wiúnicz;bocheÒski;MA£OPOLSKIE;ul.;Zamkowa;13;;;;;;;;Gmina Nowy Wiúnicz;;;;;Samorzπdowe;;
314;Muzeum Ziemi Wschowskiej ;67-400;Wschowa;Wschowa;wschowski;LUBUSKIE;pl.;Zamkowy;2;;;;;;;;Gmina Wschowa;;;;;Samorzπdowe;;
315;Muzeum Ziemi ZawkrzeÒskiej w†M≥awie;06-500;M≥awa;M≥awa;m≥awski;MAZOWIECKIE;ul.;3 Maja ;5;;;;;;;;Miasto M≥awa;;;;;Samorzπdowe;;
316;Muzeum Ziemi Z≥otowskiej w Z≥otowie;77-400;Z≥otÛw;Stara Wiúniewka;z≥otowski;WIELKOPOLSKIE;ul.;Wojska Polskiego;2a;;;;;;;;Gmina Miasto Z≥otÛw ;;;;;Samorzπdowe;;
317;Muzeum ZiemiaÒstwa w Dobrzycy - ZespÛ≥ Pa≥acowo-Parkowy;63-330;Dobrzyca;Dobrzyca;pleszewski;WIELKOPOLSKIE;ul.;Pleszewska;5a;;;;;;;;WojewÛdztwo Wielkopolskie;;;;;Samorzπdowe;;
318;Oleskie Muzeum Regionalne w Oleúnie;46-300;Olesno;Sowczyce;oleski;OPOLSKIE;ul.;Jaronia;7;;;;;;;;Gmina Olesno;;;;;Samorzπdowe;;
319;Pa≥ac Schoena Muzeum w Sosnowcu ;41-205;Sosnowiec;Sosnowiec;m. Sosnowiec;åL•SKIE;ul.;Chemiczna;12;;;;;;;;Gmina Sosnowiec;;;;;Samorzπdowe;;
320;PaÒstwowe Muzeum Archeologiczne w Warszawie;00-241;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;D≥uga;52;;;;;;;;WojewÛdztwo Mazowieckie;;;;1998-05-18;Samorzπdowe;;
321;PaÒstwowe Muzeum Etnograficzne w Warszawie;00-056;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Kredytowa;1;;;;;;;;WojewÛdztwo Mazowieckie;;;;1998-07-06;Samorzπdowe;;
322;Podlaskie Muzeum Kultury Ludowej ;16-010;WasilkÛw ;Jurowce;bia≥ostocki;PODLASKIE;ul. ;Leúna ;7;;;;;;;;WojewÛdztwo Podlaskie;;;;;Samorzπdowe;;
323;Powiatowe Muzeum Ziemi G≥ubczyckiej w G≥ubczycach;48-100;G≥ubczyce;G≥ubczyce;g≥ubczycki;OPOLSKIE;ul.;Rynek;1;;;;;;;;Powiat G≥ubczycki;;;;;Samorzπdowe;;
324;Skansen w Sidzinie-Muzeum Kultury Ludowej;34-236;Sidzina;Sidzina;suski;MA£OPOLSKIE;ul.;BinkÛwka;;;;;;;;;Gmina Bystra ñ Sidzina;;;;;Samorzπdowe;;
325;Wielkopolskie Muzeum Walk Niepodleg≥oúciowych;61-772;PoznaÒ;PoznaÒ (PoznaÒ-Stare Miasto);m. PoznaÒ;WIELKOPOLSKIE;ul.;Stary Rynek;3;;;;;;;;Miasto PoznaÒ ;;;;;Samorzπdowe;;
326;Øywiecki Park Etnograficzny Muzeum (w organizacji);34-323;ålemieÒ;ålemieÒ;øywiecki;åL•SKIE;ul.;£πczna;2A;;;;;;;;Gmina ålemieÒ ;;;;;Samorzπdowe;;
327;Centralne Muzeum JeÒcÛw Wojennych;45-017;Opole;Opole;m. Opole;OPOLSKIE;ul.;MinorytÛw;3;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;WojewÛdztwo Opolskie;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
328;Muzeum Dom Rodzinny Ojca åwiÍtego Jana Paw≥a II w Wadowicach;34-100;Wadowice;Stronie;wadowicki;MA£OPOLSKIE;ul.;Koúcielna;7;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Archidiecezja Krakowska; WojewÛdztwo Ma≥opolskie; Gmina Wadowice;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
329;Muzeum - Dom Rodziny Pileckich w Ostrowi Mazowieckiej (w organizacji) ;07-300;OstrÛw Mazowiecka;OstrÛw Mazowiecka;ostrowski;MAZOWIECKIE;ul.;Warszawska;4;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Miasto OstrÛw Mazowiecka;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
330;Muzeum Gross ñ Rosen w Rogoünicy. Niemiecki nazistowski obÛz koncentracyjny i zag≥ady (1940 - 1945);58-304;Wa≥brzych;Wa≥brzych;Wa≥brzych;DOLNOåL•SKIE;ul.;Szarych SzeregÛw ;9;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;WojewÛdztwo Dolnoúlπskie;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
331;Muzeum Historii ØydÛw Polskich Polin;00-157;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Anielewicza;6;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Miasto Sto≥eczne Warszawa; Stowarzyszenie Øydowski Instytut Historyczny w Polsce;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
332;Muzeum im. Kazimierza Pu≥askiego w Warce ;05-660;Warka;Warka;grÛjecki;MAZOWIECKIE;ul.;K. Pu≥askiego;24;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Powiat GrÛjecki;;;2018-12-28;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
333;Muzeum Jana Paw≥a II i Prymasa WyszyÒskiego;02-972;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;KsiÍdza Prymasa Augusta Hlonda;1;;;;;;;;Archidiecezja Warszawska; Minister Kultury, Dziedzictwa Narodowego i Sportu ;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
334;Muzeum JÛzefa Pi≥sudskiego w SulejÛwku;05-070;SulejÛwek;SulejÛwek;miÒski;MAZOWIECKIE;ul.;OleandrÛw;5;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Fundacja Rodziny JÛzefa Pi≥sudskiego;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
335;Muzeum Literatury im. Adama Mickiewicza w Warszawie;00-272;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Rynek Starego Miasta ;20;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo Mazowieckie;;;2001-01-25;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
336;Muzeum Narodowe w GdaÒsku;80-822;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;ToruÒska;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo Pomorskie;;;2003-12-18;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
337;Muzeum Narodowe w Kielcach;25-010;Kielce;Kielce;m. Kielce;åWI TOKRZYSKIE;Plac ;Zamkowy ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo åwiÍtokrzyskie;;;2000-05-22;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
338;Muzeum Narodowe w Szczecinie;70-561;Szczecin;Szczecin;m. Szczecin;ZACHODNIOPOMORSKIE;ul.;Starom≥yÒska;27;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo Zachodniopomorskie;;;2011-01-31;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
339;Muzeum Narodowe we Wroc≥awiu;50-153;Wroc≥aw;Wroc≥aw (Wroc≥aw-Stare Miasto);m. Wroc≥aw;DOLNOåL•SKIE;Pl. ;PowstaÒcÛw Warszawy;5;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo Dolnoúlπskie;;;2012-06-26;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
340;Muzeum Narodowe Ziemi Przemyskiej w Przemyúlu;37-700;Przemyúl;Przemyúl;Przemyúl;PODKARPACKIE;pl.;Berka Joselewicza ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Samorzπd WojewÛdztwa Podkarpackiego;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
341;Muzeum OkrÍgowe w Sandomierzu;27-600;Sandomierz;Sandomierz;sandomierski;åWI TOKRZYSKIE;ul.;Zamkowa;12;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Gmina Sandomierz;WojewÛdztwo åwiÍtokrzyskie;Powiat Sandomierski;2020-01-01;WspÛ≥prowadzone wpisane do rejestru prowdzonego przez jednostkÍ samorzπdu terytorialnego;;
342;Muzeum PamiÍci MieszkaÒcÛw Ziemi OúwiÍcimskiej (w organizacji);32-600;OúwiÍcim;OúwiÍcim;oúwiÍcimski;MA£OPOLSKIE;ul. ;WyspiaÒskiego;10;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Powiat OúwiÍcimski;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
343;Muzeum ÑPAMI ∆ I TOØSAMOå∆î úw. Jana Paw≥a II (w organizacji);;ToruÒ;ToruÒ;ToruÒ;KUJAWSKO-POMORSKIE;;;;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Fundacja LUX VERITATIS;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
344;Muzeum PiastÛw ålπskich w Brzegu;49-300;Brzeg;Brzeg;brzeski;OPOLSKIE;Plac ;Zamkowy ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo Opolskie; Powiat Brzeski;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
345;Muzeum Podlaskie w Bia≥ymstoku;15-426;Bia≥ystok;Bia≥ystok;m. Bia≥ystok;PODLASKIE;ul.;Rynek Koúciuszki;10;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;WojewÛdztwo Podlaskie;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
346;Muzeum PolakÛw Ratujπcych ØydÛw podczas II wojny úwiatowej im. Rodziny UlmÛw w Markowej ;37-120 ;Markowa ;Markowa ;≥aÒcucki;PODKARPACKIE;;;1487;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;WojewÛdztwo Podkarpackie ;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
347;Muzeum Sztuki Nowoczesnej w Warszawie;00-124;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;PaÒska;3;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Miasto Sto≥eczne Warszawa;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
348;Muzeum Sztuki w £odzi;90-734;£Ûdü;£Ûdü (£Ûdü-Polesie);m. £Ûdü;£”DZKIE;ul.;WiÍckowskiego;36;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo £Ûdzkie;;;1998-12-28;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
349;Muzeum ålπskie w Katowicach;40-205;Katowice;Katowice;m. Katowice;åL•SKIE;ul.;T. Dobrowolskiego ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo ålπskie;;;2006-07-07;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
350;Muzeum TatrzaÒskie im. dra Tytusa Cha≥ubiÒskiego w Zakopanem;34-500;Zakopane;Zakopane;tatrzaÒski;MA£OPOLSKIE;ul.;KrupÛwki;10;;;;;;;;Minister Kultury, Dziedzictwa Narodowego I Sportu;WojewÛdztwo Ma≥opolskie;;;2006-07-07;WspÛlprowadzone wpisane do rejestru prowadzonego przez jedostkÍ samorzπdu terytorialnego;;
351;Muzeum Treblinka. Niemiecki nazistowski obÛz zag≥ady i obÛz pracy (1941-1944);08-330;KosÛw Lacki;KosÛw Lacki;soko≥owski;MAZOWIECKIE;;WÛlka Okrπglik;115;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;WojewÛdztwo Mazowieckie;;;2021-01-01;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego;;
352;Muzeum-Zamek w £aÒcucie;37-100;£aÒcut;£aÒcut;≥aÒcucki;PODKARPACKIE;ul.;Zamkowa ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; WojewÛdztwo Podkarpackie;;;1998-12-28;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
353;Muzeum Ziemi MiÍdzyrzeckiej im. Alfa Kowalskiego ;66-300;MiÍdzyrzec;MiÍdzyrzecz;miÍdzyrzecki;LUBUSKIE;ul.;Podzamcze;2;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Powiat MiÍdzyrzecki;;;1998-12-28;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
354;Muzeum Øo≥nierzy WyklÍtych ;07-410;Ostro≥Íka;Ostro≥Íka;m. Ostro≥Íka;MAZOWIECKIE;ul.;Traugutta;19;;;;;;;;Minister Kultury, Dziedzictwa Narodowego I Sportu;;;;;PaÒstwowe;;
355;Narodowe Muzeum Techniki w Warszawie (w organizacji);;Warszawa ;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;pl. ;Defilad;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Minister Nauki i Szkolnictwa Wyøszego ;Miasto Sto≥eczne Warszawa ;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
356;Muzeum II Wojny åwiatowej w GdaÒsku ;80-862;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;Plac;W≥adys≥awa Bartoszewskiego;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;2011-07-15;PaÒstwowe;;
357;Muzeum Getta Warszawskiego;;;;;;;;;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;;PaÒstwowe;;
358;Muzeum Historii Polski w Warszawie ;00-560;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Mokotowska (siedziba tymczasowa);33;35;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;;PaÒstwowe;;
359;"Muzeum £azienki KrÛlewskie w Warszawie
";00-460;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Agrykoli;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;PaÒstwowe;;
360;Muzeum Marynarki Wojennej w Gdyni;81-374;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Zawiszy Czarnego;1b;;;;;;;;Minister Obrony Narodowej;;;;;PaÒstwowe;;
361;Muzeum Narodowe w Krakowie;30-062;"KrakÛw 
";KrakÛw (KrakÛw-Krowodrza);m. KrakÛw;MA£OPOLSKIE;ul.;3 Maja ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-05-18;PaÒstwowe;;
362;Muzeum Narodowe w Lublinie;20-117;Lublin;Lublin;Lublin;LUBELSKIE;ul.;Zamkowa;9;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-12-28;PaÒstwowe;;
