Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
810;Muzeum MarcepanÛw w Piotrkowie Trybunalskim;97-300;PiotrkÛw Trybunalski;PiotrkÛw Trybunalski;PiotrkÛw Trybunalski;£”DZKIE;ul.;S≥owackiego;116;;;;;;;;Piotrkowskie Bractwo Akademickie im. Zygmunta I Starego;;;;;Utworzone przez osoby prawne;;
811;Muzeum Miasta i Rzeki Warty przy Oddziale PTTK im. dr E. Kaleniewicz w Warcie;98-290;Warta;Warta;sieradzki;£”DZKIE;ul.;20 stycznia ;26;;;;;;;;Oddzia≥ Polskiego Towarzystwa Turystyczno ñ Krajoznawczego im. dr Eugenii Kaleniewicz w Warcie;;;;;Utworzone przez osoby prawne;;
812;Muzeum Miasta Piastowa w Piastowie;05-820;PiastÛw;PiastÛw;pruszkowski;MAZOWIECKIE;ul.;11 Listopada;8;;;;;;;;Piastowskie Archiwum Miejskie;;;;;Utworzone przez osoby prawne;;
813;Muzeum Miejskie w GÛrowie I≥aweckim ;11-220;GÛrowo I≥aweckie;GÛrowo I≥aweckie;bartoszycki;WARMI—SKO-MAZURSKIE;ul.;Sikorskiego;19;3;;;;;;;Stowarzyszenie Historyczno ñ Kolekcjonerskie Ziemi GÛrowskiej ,,DREYSEî;;;;;Utworzone przez osoby prawne;;
814;Muzeum Militarnych DziejÛw ålπska w†Pszczynie (w organizacji);43-200;Pszczyna;GÛra;pszczyÒski;åL•SKIE;ul.;Katowicka;1;;;;;;;;,,PRO MEMORIAî Stowarzyszenie Bitwy pod Pszczynπ 1939;;;;;Utworzone przez osoby prawne;;
815;Muzeum Morskiego Dywizjonu Lotniczego w Pucku;84-100;Puck;Swarzewo;pucki;POMORSKIE;ul.;10 Lutego;36;;;;;;;;Stowarzyszenie Historyczne Morskiego Dywizjonu Lotniczego w Pucku;;;;;Utworzone przez osoby prawne;;
816;Muzeum Motoryzacji i techniki w Roczynach (w organizacji);34-120;AndrychÛw;AndrychÛw;wadowicki;MA£OPOLSKIE;ul.;Sadowa (w miejscowoúci Roczyny);21;;;;;;;;STALVEN SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;;;;;Utworzone przez osoby prawne;;
817;Muzeum Motoryzacji w Lublinie ;20-704;Lublin;Lublin ;Lublin;LUBELSKIE;ul.;Skromna;5;;;;;;;;Fundacja Niepodleg≥oúci;;;;;Utworzone przez osoby prawne;;
818;Muzeum Nauk Rolniczych im. Ksiπøπt Czartoryskich w Pu≥awach (w organizacji);24-100;Pu≥awy;GÛra Pu≥awska;pu≥awski;LUBELSKIE;ul.;Czartoryskich;8;;;;;;;;Instytut Uprawy Nawoøenia i Gleboznawstwa ñ PaÒstwowy Instytut Badawczy w Pu≥awach;;;;;Utworzone przez osoby prawne;;
819;Muzeum Nalewki £Ûdzkiej (w organizacji);;£Ûdü;£Ûdø;≥Ûdzki ;£”DZKIE;ul.;Nowomiejska;14;;;;;;;;MRT Philosophy sp. z o.o. ;;;;;Utworzone przez osoby prawne;;
820;Muzeum Obrony Wybrzeøa;84-150;Hel;Hel;pucki;POMORSKIE;ul.;Helska;16;;;;;;;;Stowarzyszenie ,,Przyjaciele Heluî, Sekcja ZabytkÛw Militarnych;;;;;Utworzone przez osoby prawne;;
821;Muzeum OrÍøa i Techniki Uøytkowej;05-230;Koby≥ka;Koby≥ka;wo≥omiÒski;MAZOWIECKIE;ul.;Leszka;23;;;;;;;;Fundacja EKSPONAT;;;;;Utworzone przez osoby prawne;;
822;Muzeum OrÍøa Polskiego im. 1.†Brygady Pancernej im. BohaterÛw Westerplatte;26-903;G≥owaczÛw;BrzÛza;kozienicki;MAZOWIECKIE;;Studzianki Pancerne;14;;;;;;;;Fundacja ObroÒcÛw Ojczyzny ,,Pancerze i†Skrzyd≥aî;;;;;Utworzone przez osoby prawne;;
823;Muzeum ÑOtwarta Twierdzaî-Otwarte Rozproszone Ekomuzeum Cywilizacji i Wojny XIX i XX wieku;31-153;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Szlak;26;;;;;;;;Fundacja Aktywnej Ochrony ZabytkÛw, Techniki i Dziedzictwa Kulturowego ÑJanusî;;;;;Utworzone przez osoby prawne;;
824;Muzeum Pa≥ac Sulis≥aw (w organizacji);49-200;Sulis≥aw;GrodkÛw;brzeski;OPOLSKIE;;Sulis≥aw;24;;;;;;;;BJ Sp. zo.o.;;;;;Utworzone przez osoby prawne;;
825;Muzeum Pamiπtek Turystycznych PTTK w Radomiu;26-610;Radom;Radom;m. Radom;MAZOWIECKIE;ul.;Traugutta;46;48;;;;;;;Zarzπd Oddzia≥u Miejskiego PTTK w†Radomiu;;;;;Utworzone przez osoby prawne;;
826;Muzeum PamiÍci Narodowej Kobiet Polskich w Szczecinie (w organizacji);71-612;Szczecin;Szczecin;m. Szczecin;ZACHODNIOPOMORSKIE;ul.;Malczewskiego;35;LU1;;;;;;;Fundacja Oleander;;;;;Utworzone przez osoby prawne;;
827;Muzeum PamiÍci Powstania Warszawskiego;00-084;Warszawa;Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul. ;Dani≥owiczowska;18b;;;;;;;;"Stowarzyszenie Grupa Historyczna ""Zgrupowanie Rados≥aw""";;;;;Utworzone przez osoby prawne;;
828;Muzeum Papiernictwa w Dawnej KrÛlewskiej Fabryce Papieru w Konstancinie-Jeziornie;05-520;Konstancin -Jeziorna;Konstancin-Jeziorna;piaseczyÒski;MAZOWIECKIE;ul.;Mirkowska;45;;;;;;;;Konstans Sp. z o.o.;;;;;Utworzone przez osoby prawne;;
829;Muzeum Parowozownia Jarocin w†Jarocinie (w organizacji);63-200;Jarocin;Jarocin;jarociÒski;WIELKOPOLSKIE;ul.;Parowozownia;1;;;;;;;;Towarzystwo Kolei Wielkopolskiej z†siedzibπ w Jarocinie;;;;;Utworzone przez osoby prawne;;
830;Muzeum ÑPod Kuüniczym M≥otemî ;34-500;Zakopane;Zakopane;tatrzaÒski;MA£OPOLSKIE;Plac;Niepodleg≥oúci;6;;;;;;;;ZakopiaÒska Fundacja Narodowa ÑSkansenî;;;;;Utworzone przez osoby prawne;;
831;Muzeum Polskich Si≥ Zbrojnych w Lublinie;20-704;Lublin ;Lublin ;Lublin;LUBELSKIE;ul.;Skromna;5;;;;;;;;Fundacja Niepodleg≥oúci;;;;;Utworzone przez osoby prawne;;
832;Muzeum Polskiego Czynu Zbrojnego w Armiach Sprzymierzonych (w organizacji);83-330 ;Borkowo;Øukowo;kartuski ;POMORSKIE;ul. ;Kartuska ;65;;;;;;;;"Fundacja Muzeum Polskiego Czynu Zbrojnego Armii Sprzymierzonych ,,ALLIANT""";;;;;Utworzone przez osoby prawne ;;
833;Muzeum Pomorskich Kolei Wπskotorowych ;75-108;Koszalin (Centrum Pielgrzymkowo - Turystyczne przy Domu Zakonnym - GÛra Che≥mska);Koszalin ;koszaliÒski;ZACHODNIOPOMORSKIE;;ul. Kolejowa ;4;;;;;;;;Towarzystwo KoszaliÒskiej Kolei Wπskotorowej ;;;;;Utworzone przez osoby prawne ;;
834;Muzeum Poszukiwaczy åladÛw Historii ÑDENARî (w organizacji);62-811;Koúcielna Wieú;Go≥uchÛw;pleszewski;WIELKOPOLSKIE;ul.;£Ígowa;1g;;;;;;;;"Kaliskie Stowarzyszenie Poszukiwaczy åladÛw Historii ""DENAR""";;;;;Utworzone przez osoby prawne ;;
835;Muzeum PowozÛw Galowice;55-020;ØÛrawina, Galowice;Brzeúcie;wroc≥awski;DOLNOåL•SKIE;ul.;Leúna;5;;;;;;;;Fundacja ,,Gallenî;;;;;Utworzone przez osoby prawne;;
836;Muzeum Poøarnictwa w Przodkowie;83-304;Przodkowo;Przodkowo;kartuski;POMORSKIE;ul.;Kartuska;23;;;;;;;;Stowarzyszenie Ochotnicza Straø Poøarna w†Przodkowie;;;;;Utworzone przez osoby prawne;;
837;Muzeum PRL-u i Historii Miasta Nowy DwÛr Mazowiecki (w organizacji);05-100;Nowy DwÛr Mazowiecki;KazuÒ Nowy;nowodworski;MAZOWIECKIE;ul.;Nowo≥Íczna;2;;;;;;;;Fundacja dla Muzeum PRL-u i Historii Miasta Nowy DwÛr Mazowiecki;;;;;Utworzone przez osoby prawne;;
838;Muzeum PRL-u w Rudzie ålπskiej;41-711;Ruda ålπska;Ruda ålπska;Ruda ålπska;åL•SKIE;ul.;ZajÍcza;42;;;;;;;;Fundacja Minionej Epoki;;;;;Utworzone przez osoby prawne;;
839;Muzeum Przemys≥u i Techniki w†Wa≥brzychu ;58-304;Wa≥brzych;Wa≥brzych;wa≥brzyski;DOLNOåL•SKIE;ul.;Piotra Wysockiego;29;;;;;;;;Samorzπdowa instytucja kultury pn. Park Wielokulturowy ñ Stara Kopalnia w†Wa≥brzychu, dla ktÛrej organizatorem jest Gmina Wa≥brzych;;;;;Utworzone przez osoby prawne;;
840;Muzeum Przemys≥u SkÛrzanego w Wielopolu SkrzyÒskim (w organizacji);39-110;Wielopole SkrzyÒskie;Wielopole SkrzyÒskie;ropczycko-sÍdziszowski;PODKARPACKIE;;Wielopole SkrzyÒskie;642;;;;;;;;"Zak≥ad Produkcji Obuwia ""ASKO"" SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ";;;;;Utworzone przez osoby prawne;;
841;Muzeum Przemys≥u Zapa≥czanego w CzÍstochowie;42-200;CzÍstochowa;Nowa Wieú;czÍstochowski;åL•SKIE;ul.;Ogrodowa;68;;;;;;;;SpÛ≥ka Akcyjna CzÍstochowskie Zak≥ady Przemys≥u Zapa≥czanego ;;;;;Utworzone przez osoby prawne;;
842;Muzeum Przyrodniczo-Etnograficzne w Polednie (w organizacji);86-122;Bukowiec;Bukowiec;úwiecki;KUJAWSKO-POMORSKIE;;Poledno;2;;;;;;;;Pa≥ac Poledno sp. z o.o.;;;;;Utworzone przez osoby prawne;;
